station_id, Longitude, Latitude
NJOC0120, -74.9179, 38.9240
NJOC0220, -74.8511, 38.9452
NJOC0320, -74.8040, 38.9735
NJOC0420, -74.7655, 39.0071
NJOC0520, -74.7444, 39.0518
NJOC0620, -74.7083, 39.0871
NJOC0720, -74.6903, 39.1341
NJOC0820, -74.6637, 39.1743
NJOC0920, -74.6300, 39.2108
NJOC1020, -74.5951, 39.2466
NJOC1120, -74.5452, 39.2735
NJOC1220, -74.5086, 39.3080
NJOC1320, -74.4548, 39.3308
NJOC1420, -74.3962, 39.3542
NJOC1520, -74.3575, 39.3875
NJOC1620, -74.3198, 39.4228
NJOC1720, -74.2787, 39.4548
NJOC1820, -74.2648, 39.5033
NJOC1920, -74.2416, 39.5466
NJOC2020, -74.2111, 39.5864
NJOC2120, -74.1841, 39.6271
NJOC2220, -74.1525, 39.6658
NJOC2320, -74.1268, 39.7079
NJOC2420, -74.0979, 39.7472
NJOC2520, -74.0854, 39.8016
NJOC2620, -74.0805, 39.8546
NJOC2720, -74.0737, 39.9074
NJOC2820, -74.0630, 39.9585
NJOC2920, -74.0528, 40.0095
NJOC3020, -74.0405, 40.0591
NJOC3120, -74.0293, 40.1097
NJOC3220, -74.0149, 40.1593
NJOC3320, -74.0003, 40.2075
NJOC3420, -73.9857, 40.2561
NJOC3520, -73.9740, 40.3071
NJOC3620, -73.9693, 40.3618
NJOC3720, -73.9764, 40.4259
NJOC3820, -73.9955, 40.4730
1, -73.926914847, 40.5400662169
2, -73.878326120, 40.5554003829
3, -73.831769521, 40.5737263792
4, -73.782130137, 40.5852585781
5, -73.731102309, 40.5818444777
6, -73.680487602, 40.5799615027
7, -73.652670493, 40.579527673
8, -73.879552794, 40.6029357533
10, -73.873980076, 40.6317884411
13, -73.798411785, 40.6320466903
15, -73.788744724, 40.6054520883
18, -73.894146330, 40.5729197795
21, -74.169290760, 40.4962103294
23, -74.110682102, 40.4758221016
24, -74.065801227, 40.4612814578
25, -74.018067187, 40.4452814483
26, -74.075468508, 40.5611911987
27, -74.042514721, 40.6265152997

